Vpan,Ipan,Ppan
5.9169124,0.047018528,0.27820452
5.8761852,0.05813694,0.34162344
5.8031836,0.076280592,0.4426703
5.6337168,0.095294712,0.5368634
5.534837,0.11253619,0.62286944
5.3020952,0.13670635,0.72483016
5.153615,0.14382863,0.7412374
4.9917964,0.15572047,0.7773249
4.6429768,0.15272308,0.7090897
4.1864116,0.15591383,0.65271944
3.754467,0.15336776,0.5758142
3.3459584,0.15630054,0.52297516
3.1150412,0.16384148,0.510373
2.9867566,0.16409946,0.49012512
2.958591,0.174412016,0.5160138
2.708491,0.15900755,0.43067052
2.4069356,0.16145682,0.3886162
2.173016,0.16023206,0.34818684
2.0276646,0.1597488,0.32391696
2.0395334,0.15578484,0.3177284
1.9975862,0.15636492,0.31235242
1.8159402,0.163908,0.29764712
1.58372,0.16393828,0.25963232
1.4826375,0.15198207,0.22533432
1.4713757,0.15024185,0.22106222
1.4630864,0.15729952,0.23014278
1.3967516,0.17238378,0.240777332
1.2537576,0.186277632,0.23354698
1.128648,0.16864324,0.19033886
1.0517045,0.1554625,0.16350062
1.0478838,0.1472125,0.15426159
1.0600777,0.15652609,0.16592981
0.9945507,0.176637652,0.1756751
0.8630546,0.1753788,0.15136148
0.8128995,0.16216588,0.13182456
0.795543536,0.16055441,0.12772803
0.8044831,0.16915918,0.1360857
0.79199716,0.1549468,0.122717424
0.74956996,0.17302632,0.12969532
0.62882732,0.15997434,0.100596232
0.58876776,0.16013551,0.09428263
0.58991856,0.15755725,0.09294594
0.5715515,0.17102838,0.09775153
0.6133131,0.14747024,0.09044542
0.6388721,0.16545296,0.10570328
0.6380134,0.16725754,0.10671256
0.6712697,0.16751742,0.11244937
0.6933687,0.1703856,0.118140032
0.6723342,0.15298104,0.102854384
0.4905763,0.15497899,0.07602902
