Vpan,Ipan,Ppan
6.7301656,0.07408929,0.498633184
6.7154516,0.08891368,0.5970955
6.7024444,0.13567519,0.90935544
6.647775,0.17341304,1.1528109
6.6634644,0.19655204,1.3097175
6.6239584,0.233709808,1.5480841
6.55754,0.29507208,1.93494684
6.5659948,0.33639336,2.208757
6.5222588,0.34979964,2.2814836
6.5627832,0.32875348,2.1575376
6.526365,0.3551817,2.3180454
6.4810432,0.42346668,2.744506
6.390402,0.54532504,3.484846
6.327319,0.6044822,3.8247516
6.2678948,0.6913481,4.333297
6.1915604,0.7224815,4.4732876
6.1761956,0.7419145,4.582209
6.095066,0.7784276,4.744568
6.0125128,0.8630235,5.18894
5.860739,0.9271233,5.433628
5.8250112,0.97117736,5.657119
5.7735964,0.9802978,5.659844
5.7079444,0.9766884,5.574883
5.484753,0.9885478,5.421941
5.25649,0.99705384,5.241004
5.022405,1.0024702,5.034812
4.735813,1.0141363,4.80276
4.486861,1.0122027,4.541613
4.223633,1.0175521,4.2977668
4.033042,1.0083354,4.066659
3.806078,0.988958864,3.7640546
3.77760736,0.99395392,3.754768
3.7803132,1.0146198,3.8355808
3.76450936,1.0259316,3.8621292
3.6364098,1.0159085,3.69425952
3.43598752,1.0161021,3.491314
3.1994184,1.0023391,3.206902
2.9775704,0.9967923,2.9680192
2.7679162,1.0148473,2.8090122
2.5356222,1.0143294,2.5719562
2.336699,1.0163276,2.3748516
2.142775,1.0260925,2.1986854
1.9077984,1.0117173,1.9301526
1.7473672,1.014813,1.7732508
1.5301124,1.016521,1.5553913
1.3234255,1.0311201,1.3646107
1.131445,1.0206785,1.1548417
0.9679222,1.0353415,1.00213
0.7641213,1.0186462,0.7783693
0.5774351,1.019645,0.5887788
