Vpan,Ipan,Ppan
6.5572964,0.0795033,0.52132668
6.524622,0.1065135,0.6949603
6.4842144,0.109797,0.71194728
6.521538,0.1161778,0.7576579
6.4116196,0.14776016,0.9473819
6.48267,0.15091848,0.9783547
6.425765,0.174186468,1.1192813
6.4280404,0.16587186,1.066231
6.457311,0.187206032,1.2088476
6.405929,0.202804092,1.2991486
6.3362612,0.21846652,1.3842609
6.3200024,0.25501204,1.6116767
6.3157752,0.28485416,1.799075
6.253587,0.31528044,1.9716336
6.2804128,0.3170812,1.9914008
6.286022,0.3194096,2.0078158
6.2146472,0.34177112,2.123987
6.187414,0.3556974,2.2008472
6.182537,0.37750696,2.3339508
6.169286,0.40568542,2.5027892
6.1166076,0.428312768,2.6198212
6.032547,0.44275044,2.670913
5.9906044,0.485475552,2.9082918
6.0101148,0.45858216,2.7561314
5.977761,0.5093155,3.0445662
5.889395,0.5571203,3.2811016
5.7581888,0.55886864,3.2180712
5.6448664,0.57725,3.2584992
5.528537,0.6006069,3.3204776
5.40863,0.60165,3.2541022
5.249703,0.60413956,3.1715532
5.1198624,0.59622408,3.0525854
5.0030504,0.598552,2.9945858
4.8854248,0.61046816,2.9823962
4.733021,0.608603,2.8805306
4.652368,0.57474448,2.6739228
4.538691,0.59982516,2.722421
4.4207652,0.5982299,2.644634
4.3706436,0.605062,2.6445104
4.341337,0.6010542,2.6093788
4.2930548,0.6151936,2.6410596
4.224987,0.6102505,2.5783002
4.2867592,0.59537384,2.5522244
4.143664,0.60330984,2.4999132
3.9958788,0.5935612,2.3717984
3.9454772,0.60383344,2.382411
3.8526864,0.58394148,2.2497432
3.7626092,0.5980327,2.2501632
3.606832,0.60983584,2.1995754
3.52164232,0.5889244,2.073981
3.3934386,0.5894482,2.0002564
3.2979096,0.6171794,2.0354018
3.1706,0.59835076,1.8971308
3.0707724,0.6097591,1.8724314
2.953797,0.61884736,1.8279496
2.881035,0.60792636,1.7514572
2.8358364,0.6160877,1.7471238
2.7668238,0.61046816,1.6890578
2.7705584,0.602206,1.6684469
2.7682822,0.61774752,1.7100994
2.7490968,0.5752442,1.581402
2.8168952,0.61279276,1.72617292
2.7178804,0.5868659,1.5950314
2.693574,0.60776116,1.6370496
2.6114684,0.6194918,1.6177832
2.5324518,0.62555456,1.5841868
2.4235196,0.6229644,1.5097663
2.3271064,0.60382556,1.4051664
2.26004,0.6044016,1.3659718
2.1598872,0.61815024,1.3351349
2.0929832,0.60827684,1.2731132
2.0504672,0.61284492,1.2566185
2.0046182,0.5918329,1.186399
2.0107964,0.61821484,1.2431041
1.9872214,0.5984235,1.1891999
2.0699776,0.6119547,1.2667324
2.0066504,0.60968684,1.2234284
2.036322,0.5943546,1.2102975
2.0463212,0.5982661,1.2242446
2.0938776,0.6329868,1.3253968
2.0003908,0.6170385,1.2343181
1.9177162,0.6018436,1.1541652
1.8276438,0.6049857,1.1056984
1.7696006,0.59641316,1.055413
1.6762768,0.61330416,1.0280675
1.5925452,0.6114874,0.9738213
1.5001966,0.6109235,0.9165054
1.4129695,0.61008952,0.8620379
1.3490734,0.6024797,0.8127893
1.2895671,0.61125376,0.7882527
1.1899022,0.613574,0.73009304
1.1299032,0.6282697,0.7098839
1.0089445,0.62647296,0.63207644
0.88707656,0.61137056,0.5423325
0.7974818,0.61039184,0.486776368
0.77139704,0.62041044,0.4785828
0.6740032,0.61144732,0.41211744
0.57113736,0.6161401,0.35190064
0.5236675,0.6107261,0.31981742
0.4349822,0.59156704,0.25732116
